PlotName,plot,ENV,Rep,Blk,Entry,Pedigree,DP,DS,ASI,PHT,EHT,HCV,PASP,EASP,RL,SL,EPP,EAROT,GY,STGC,Turcicum 10 WAP
BA21365-IK'DT-1056,1056,MD,1,4,E39,TZEEIOR 345,49,48,1,55,24,4,8,5,0,0,0.352941176,0,194.5533769,8,
BA21365-IK'DT-1057,1057,MD,1,4,E128,TZEEIOR 528,48,48,0,107,47.2,5,6,5,0,11.11111111,0.5,44.44444444,575.8169935,8,
BA21365-IK'DT-1058,1058,MD,1,4,E203,TZEEIOR 507,49,48,1,94.8,57,4,6,8,0,0,0.555555556,20,573.2026144,7,
BA21365-IK'DT-1059,1059,MD,1,4,E191,TZEEIOR 525,51,52,1,86.2,40,5,7,3,0,0,0.0625,0,0,8,
BA21365-IK'DT-1060,1060,MD,1,4,E108,TZEEIOR 479,47,45,2,104.2,48.2,2,5,5,0,0,0.777777778,0,770.3703704,6,
BA21365-IK'DT-1061,1061,MD,1,5,E30,TZEEIOR 329,51,51,0,85.2,39.4,5,6,4,0,0,0.444444444,62.5,377.3420479,6,
BA21365-IK'DT-1062,1062,MD,1,5,E62,TZEEIOR 388,53,52,1,95.8,49.4,4,6,4,0,0,0.470588235,0,956.4270153,6,
BA21365-IK'DT-1063,1063,MD,1,5,E161,TZEEIOR 38,56,55,1,99.2,54.8,5,6,4,0,0,0.705882353,25,960.7843137,5,
BA21365-IK'DT-1064,1064,MD,1,5,E208, Check 4 -TZEEI 95               ,,,,,,,,,,,,,,,
BA21365-IK'DT-1065,1065,MD,1,5,E111,TZEEIOR 493,57,56,1,89.2,53.4,4,7,5,0,0,0.5,33.33333333,750.3267974,7,
BA21365-IK'DT-1066,1066,MD,1,5,E196,TZEEIOR 349,57,57,0,69.2,35.8,8,9,7,0,0,0.111111111,100,199.7821351,9,
BA21365-IK'DT-1067,1067,MD,1,5,E153,TZEEI 58,54,56,2,122.6,59,3,7,6,0,0,0.222222222,0,383.8779956,6,
BA21365-IK'DT-1068,1068,MD,1,5,E192,TZEEIOR 526,50,49,1,75,36.2,3,8,6,0,11.11111111,0.444444444,0,389.9782135,8,
BA21365-IK'DT-1069,1069,MD,1,5,E160,TZEEIOR 109,54,56,2,85,48,5,6,9,0,0,0,0,0,7,
BA21365-IK'DT-1070,1070,MD,1,5,E83,TZEEIOR 422,50,50,0,122,56,2,5,5,0,0,0.611111111,27.27272727,985.620915,6,
BA21365-IK'DT-1071,1071,MD,1,5,E53,TZEEIOR 375,44,43,1,82,33.2,5,8,6,0,0,0.588235294,0,386.0566449,9,
BA21365-IK'DT-1072,1072,MD,1,5,E13,TZEEIOR 296,56,56,0,94.2,40.8,3,5,5,0,0,0.666666667,0,582.3529412,6,
BA21365-IK'DT-1073,1073,MD,1,5,E73,TZEEIOR 403,51,50,1,95,49.8,5,6,5,0,0,0.555555556,40,1001.481481,6,
BA21365-IK'DT-1074,1074,MD,1,5,E175,TZEEIOR 24,56,58,2,98.2,45,3,7,9,0,0,0.055555556,0,0,9,
BA21365-IK'DT-1075,1075,MD,1,5,E100,TZEEIOR 463,46,46,0,105.6,39.4,3,7,6,0,0,0.470588235,0,381.2636166,8,
BA21365-IK'DT-1076,1076,MD,1,6,E151,TZEEIOR 249,57,56,1,107,52,4,5,6,0,0,0.388888889,0,379.5206972,5,
BA21365-IK'DT-1077,1077,MD,1,6,E22,TZEEIOR 310,48,48,0,93.2,30.4,5,6,3,0,0,0.611111111,0,752.9411765,7,
BA21365-IK'DT-1078,1078,MD,1,6,E43,TZEEIOR 355,54,54,0,94.4,48.8,5,8,4,0,0,0.235294118,0,374.7276688,8,
BA21365-IK'DT-1079,1079,MD,1,6,E115,TZEEIOR 501,48,48,0,82.2,39.2,3,8,6,0,0,0.222222222,50,379.956427,8,
BA21365-IK'DT-1080,1080,MD,1,6,E181,TZEEIOR 45,55,56,1,132.2,60,3,6,4,0,0,0.333333333,0,581.6993464,6,
BA21365-IK'DT-1081,1081,MD,1,6,E79,TZEEIOR 413,50,50,0,96.2,41.4,5,8,6,0,0,0.166666667,0,377.3420479,8,
BA21365-IK'DT-1082,1082,MD,1,6,E92,TZEEIOR 445,50,50,0,109.2,50.4,3,6,4,0,0,0.666666667,25,1121.568627,7,
BA21365-IK'DT-1083,1083,MD,1,6,E119,TZEEIOR 509,48,47,1,104.2,62,5,5,4,0,0,0.611111111,27.27272727,770.3703704,6,
BA21365-IK'DT-1084,1084,MD,1,6,E137,TZEEIOR 545,48,47,1,130.8,63.2,5,3,4,0,0,1.055555556,0,1352.723312,5,
BA21365-IK'DT-1085,1085,MD,1,6,E91,TZEEIOR 444,50,50,0,122,70.8,2,5,3,0,0,0.833333333,13.33333333,956.4270153,7,
BA21365-IK'DT-1086,1086,MD,1,6,E96,TZEEIOR 458,49,48,1,111,58.6,3,4,2,0,44.44444444,1.055555556,0,1563.398693,6,
BA21365-IK'DT-1087,1087,MD,1,6,E60,TZEEIOR 384,50,48,2,106.4,52,5,6,5,0,11.11111111,0.555555556,60,589.5424837,6,
BA21365-IK'DT-1088,1088,MD,1,6,E67,TZEEIOR 395,54,53,1,92.2,54.2,4,6,6,0,0,0.333333333,50,568.627451,7,
BA21365-IK'DT-1089,1089,MD,1,6,E45,TZEEIOR 357,50,48,2,114.4,54.6,5,2,2,0,22.22222222,0.888888889,12.5,2345.098039,3,
BA21365-IK'DT-1090,1090,MD,1,6,E63,TZEEIOR 389,49,48,1,90.4,40,4,5,1,0,0,0.722222222,23.07692308,1160.784314,6,
BA21365-IK'DT-1091,1091,MD,1,7,E20,TZEEIOR 305,54,54,0,94.6,49.2,3,6,2,0,0,0.666666667,50,945.5337691,7,
BA21365-IK'DT-1092,1092,MD,1,7,E101,TZEEIOR 464,47,46,1,96.4,37.8,3,5,4,0,22.22222222,0.722222222,0,767.7559913,7,
BA21365-IK'DT-1093,1093,MD,1,7,E28,TZEEIOR 323,47,47,0,102.2,43,3,3,4,0,0,1,0,1596.514161,6,
BA21365-IK'DT-1094,1094,MD,1,7,E61,TZEEIOR 386,51,50,1,89.2,37.8,3,5,2,0,22.22222222,0.888888889,12.5,1411.764706,5,
BA21365-IK'DT-1095,1095,MD,1,7,E87,TZEEIOR 432,48,48,0,120.6,42,3,2,3,0,33.33333333,1.222222222,13.63636364,1825.969499,7,
BA21365-IK'DT-1096,1096,MD,1,7,E65,TZEEIOR 392,53,52,1,117.8,52,3,6,2,0,0,0.666666667,25,949.8910675,4,
BA21365-IK'DT-1097,1097,MD,1,7,E122,TZEEIOR 515,47,46,1,114.2,36.6,2,5,3,0,16.66666667,1,0,1384.749455,6,
BA21365-IK'DT-1098,1098,MD,1,7,E8,TZEEIOR 288,47,45,2,107.2,49,3,4,3,0,0,0.5,44.44444444,958.6056645,5,
